Column 1,Column 2,Column 3
-0.376891,-31.373111,-0.004603
-0.440088,-31.373111,-0.006127
-0.388821,-31.373111,-0.007103
-0.360606,-31.373111,-0.007629
-0.298246,-31.294203,-0.007175
-0.293246,-31.373111,-0.005369
-0.276848,-31.373111,-0.003201
-0.249098,-31.294203,-0.000823
-0.181493,-31.373111,0.002259
-0.216952,-31.373111,0.005165
-0.212297,-31.373111,0.007231
-0.253345,-31.373111,0.008586
-0.351331,-31.373111,0.009356
-0.346131,-31.373111,0.009653
-0.232458,-31.294203,0.010196
-0.290562,-31.373111,0.011527
-0.211383,-31.373111,0.012803
-0.286709,-31.294203,0.013997
-0.310335,-31.294203,0.016325
-0.202529,-31.373111,0.019449
-0.186532,-31.294203,0.022467
-0.353334,-31.373111,0.025311
-0.308172,-31.373111,0.027315
-0.13757,0,0
-0.15611,0,0
-0.265943,0,0
-0.346775,0,0
-0.347334,0,0
-0.342182,0,0
-0.319921,0,0
-0.286332,0,0
-0.338538,0,0
-0.384821,0,0
-0.356681,0,0
-0.351499,0,0
-0.454836,0,0
-0.506357,0,0
-0.506274,0,0
-0.312041,0,0
-0.301335,0,0
-0.439143,0,0
-0.416498,0,0
-0.382527,0,0
-0.411509,0,0
-0.434663,0,0
-0.486274,0,0
-0.394916,0,0
-0.355326,-31.294203,0.028612
-0.418685,-31.373111,0.029945
-0.493206,-31.294203,0.031263
-0.573133,-31.373111,0.03253
-0.492842,-31.373111,0.033099
-0.39004,-31.373111,0.0325
-0.367603,-31.373111,0.031024
-0.316709,-31.294203,0.029541
-0.345969,-31.373111,0.028714
-0.437924,-31.294203,0.028417
-0.48382,-31.373111,0.028535
-0.455294,-31.294203,0.028966
-0.438307,-31.294203,0.030242
-0.312893,-31.294203,0.032742
-0.227967,-31.294203,0.0361
-0.30328,-31.294203,0.040012
-0.349735,-31.294203,0.044226
-0.37887,-31.294203,0.048538
-0.413597,-31.294203,0.052791
-0.465314,-31.373111,0.056249
-0.551081,-31.294203,0.058372
-0.53371,-31.294203,0.060024
-0.5107,-31.294203,0.06188
-0.356447,-31.294203,0.063834
-0.151435,-31.215296,0.06642
-0.050051,-31.373111,0.069408
-0.046161,-31.294203,0.071377
-0.059422,-31.294203,0.072504
0.047284,-31.294203,0.073568
0.176389,-31.294203,0.074549
0.270698,-31.294203,0.075438
0.398876,-31.294203,0.076226
0.566494,-31.294203,0.076915
0.81336,-31.215296,0.078121
0.979259,-31.294203,0.080304
0.973157,-31.294203,0.08255
0.818599,-31.294203,0.084156
0.504774,-31.294203,0.085222
0.24933,-31.294203,0.085841
0.143393,-31.373111,0.085482
-0.093452,-31.373111,0.083149
-0.30078,-31.294203,0.079379
-0.427315,-31.294203,0.075859
-0.524781,-31.294203,0.073258
-0.559035,-31.294203,0.071442
-0.615989,-31.373111,0.069668
-0.729812,-31.373111,0.066746
-0.71183,-31.373111,0.062421
-0.613976,-31.294203,0.057772
-0.625018,-31.294203,0.054255
-0.647434,-31.294203,0.052332
-0.572682,-31.294203,0.05169
-0.498235,-31.373111,0.051433
-0.401253,-31.294203,0.050861
-0.413164,-31.294203,0.050683
-0.544945,-31.373111,0.050813
-0.573399,-31.294203,0.050557
-0.578896,-31.294203,0.050631
-0.561528,-31.294203,0.051572
-0.561361,-31.373111,0.05253
-0.65256,-31.294203,0.052856
-0.669151,-31.373111,0.052686
-0.577176,-31.373111,0.051525
-0.54268,-31.373111,0.049023
-0.58827,-31.294203,0.046191
-0.519466,-31.294203,0.044428
-0.508047,-31.294203,0.044156
-0.570909,-31.373111,0.044417
-0.559279,-31.373111,0.043845
-0.536275,-31.373111,0.042035
-0.576179,-31.373111,0.039334
-0.621629,-31.373111,0.036035
-0.695444,-31.294203,0.032997
-0.694721,-31.373111,0.030873
-0.482717,-31.373111,0.028896
-0.437182,-31.373111,0.026478
-0.477488,-31.373111,0.023798
-0.494788,-31.373111,0.021001
-0.517727,-31.373111,0.018201
-0.580545,-31.373111,0.015487
-0.55174,-31.294203,0.01354
-0.380294,-31.373111,0.01286
-0.186711,-31.373111,0.012554
-0.142391,-31.373111,0.011926
-0.183911,-31.452018,0.010456
-0.219553,-31.373111,0.007768
-0.317865,-31.373111,0.004849
-0.318701,-31.373111,0.002461
-0.285273,-31.373111,0.000556
-0.251984,-31.373111,-0.000922
-0.338749,-31.373111,-0.002025
-0.448002,-31.294203,-0.002189
-0.419761,-31.294203,-0.000395
-0.345953,-31.373111,0.002843
-0.352394,-31.373111,0.005851
-0.37023,-31.294203,0.008589
-0.30805,-31.373111,0.011652
-0.354622,-31.294203,0.014868
-0.406715,-31.373111,0.018101
-0.395781,-31.373111,0.020628
-0.367763,-31.373111,0.021918
-0.351281,-31.294203,0.022838
-0.36342,-31.294203,0.02468
-0.358379,-31.373111,0.027169
-0.359071,-31.373111,0.028844
-0.405443,-31.373111,0.029224
-0.400233,-31.373111,0.028601
-0.377915,-31.373111,0.02723
-0.37282,-31.294203,0.025944
-0.344906,-31.373111,0.025382
-0.311397,-31.373111,0.024775
-0.272317,-31.373111,0.023534
-0.307633,-31.215296,0.023082
-0.377068,-31.373111,0.024482
-0.394827,-31.373111,0.026023
-0.406803,-31.373111,0.026389
-0.350208,-31.373111,0.025844
-0.19106,-31.373111,0.024618
-0.123931,-31.373111,0.022909
-0.091343,-31.373111,0.020883
-0.081733,-31.294203,0.019295
-0.100717,-31.373111,0.018709
-0.102497,-31.294203,0.01891
-0.144244,-31.452018,0.019089
-0.162982,-31.373111,0.018011
-0.187357,-31.373111,0.016006
-0.165952,-31.373111,0.013969
-0.167479,-31.373111,0.011972
-0.191844,-31.373111,0.010067
-0.187559,-31.452018,0.007676
-0.137613,-31.373111,0.004371
-0.070744,-31.373111,0.001085
-0.049834,-31.373111,-0.001466
-0.097538,-31.373111,-0.003374
-0.167891,-31.373111,-0.00473
-0.152304,-31.373111,-0.005621
-0.182467,-31.373111,-0.006128
-0.178246,-31.373111,-0.006324
-0.151205,-31.373111,-0.006277
-0.17567,-31.373111,-0.006044
-0.097252,-31.373111,-0.005677
-0.064842,-31.373111,-0.005218
-0.07254,-31.373111,-0.004703
-0.08021,-31.373111,-0.004162
-0.025039,-31.294203,-0.003
-0.067173,-31.373111,-0.000782
-0.097718,-31.373111,0.001559
-0.185244,-31.452018,0.002686
-0.215312,-31.373111,0.002231
-0.193865,-31.373111,0.001196
-0.212482,-31.373111,0.000365
-0.196763,-31.373111,-0.000282
-0.226794,-31.373111,-0.000769
-0.302386,-31.373111,-0.001118
-0.349119,-31.373111,-0.001351
-0.35569,-31.373111,-0.001487
-0.362235,-31.452018,-0.002161
-0.380175,-31.373111,-0.003845
-0.426594,-31.373111,-0.005631
-0.478534,-31.452018,-0.00744
-0.535972,-31.373111,-0.009827
-0.547493,-31.373111,-0.011966
-0.501862,-31.373111,-0.013229
-0.542073,-31.373111,-0.013783
-0.559278,-31.452018,-0.014394
-0.616384,-31.373111,-0.015645
-0.690386,-31.373111,-0.016732
-0.712691,-31.373111,-0.01704
-0.694931,-31.373111,-0.016744
-0.694372,-31.373111,-0.015993
-0.722366,-31.373111,-0.014917
-0.744533,-31.373111,-0.013627
-0.772318,-31.373111,-0.012212
-0.697201,-31.373111,-0.010747
-0.610969,-31.373111,-0.009288
-0.565062,-31.373111,-0.00788
-0.542184,-31.373111,-0.006554
-0.530819,-31.373111,-0.005334
-0.536632,-31.373111,-0.004233
-0.588104,-31.373111,-0.003257
-0.587971,-31.373111,-0.002407
-0.593548,-31.452018,-0.002298
-0.581971,-31.452018,-0.003994
-0.541888,-31.373111,-0.007019
-0.564783,-31.373111,-0.009734
-0.638977,-31.373111,-0.011509
-0.638631,-31.373111,-0.012509
-0.598314,-31.373111,-0.012884
-0.638105,-31.373111,-0.012768
-0.666311,-31.452018,-0.012896
-0.67727,-31.373111,-0.013826
-0.631079,-31.373111,-0.014722
-0.596496,-31.373111,-0.014948
-0.65913,-31.373111,-0.014654
-0.715796,-31.373111,-0.01397
-0.709414,-31.373111,-0.013009
-0.668795,-31.373111,-0.011866
-0.588368,-31.373111,-0.01062
-0.571084,-31.373111,-0.009332
-0.616683,-31.373111,-0.008055
-0.622122,-31.452018,-0.007441
-0.66751,-31.373111,-0.007972
-0.804075,-31.373111,-0.008747
-0.814452,-31.452018,-0.009684
-0.813363,-31.373111,-0.011332
-0.755172,-31.373111,-0.012858
-0.805714,-31.373111,-0.013624
-0.804653,-31.373111,-0.013785
-0.815014,-31.452018,-0.014094
-0.81962,-31.373111,-0.015125
-0.807073,-31.373111,-0.016058
-0.863099,-31.373111,-0.01627
-0.88463,-31.373111,-0.015924
-0.883228,-31.373111,-0.01516
-0.836146,-31.373111,-0.014101
-0.829227,-31.373111,-0.012849
-0.862305,-31.373111,-0.011488
-0.860982,-31.452018,-0.010703
-0.899634,-31.373111,-0.011001
-0.960965,-31.373111,-0.011502
-0.976359,-31.452018,-0.012144
-0.940292,-31.373111,-0.013489
-0.90437,-31.373111,-0.014715
-0.897142,-31.373111,-0.015193
-0.895651,-31.373111,-0.015085
-0.928424,-31.373111,-0.01453
-1.001032,-31.452018,-0.014267
-0.942,-31.373111,-0.014854
-0.991702,-31.373111,-0.015456
-1.069748,-31.373111,-0.015433
-1.067525,-31.373111,-0.014933
-1.099567,-31.373111,-0.014083
-1.108632,-31.294203,-0.012374
-1.077683,-31.294203,-0.008827
-1.041144,-31.452018,-0.0046
-1.044723,-31.373111,-0.001835
-1.093964,-31.373111,-0.000276
-1.125868,-31.373111,0.000926
-1.094822,-31.373111,0.001818
-1.069608,-31.452018,0.001828
-1.073044,-31.373111,0.000543
-1.05933,-31.373111,-0.001074
-1.062797,-31.373111,-0.00228
-1.123349,-31.373111,-0.003132
-1.160806,-31.373111,-0.003687
-1.14671,-31.452018,-0.004614
-1.138377,-31.373111,-0.006413
-1.112942,-31.294203,-0.007591
-1.104736,-31.373111,-0.007022
-1.14224,-31.373111,-0.005749
-1.202426,-31.373111,-0.004594
-1.176705,-31.373111,-0.003566
-1.191056,-31.373111,-0.002667
-1.113976,-31.373111,-0.001895
-1.094309,-31.057481,0.001225
-1.086138,-31.373111,0.008512
-1.140809,-31.452018,0.015679
-1.069623,-31.373111,0.019445
-1.032985,-31.373111,0.021104
-1.110699,-31.373111,0.021715
-1.119565,-31.373111,0.021503
-1.111258,-31.373111,0.020669
-1.1144,-31.452018,0.018766
-1.180337,-31.373111,0.015487
-1.211735,-31.373111,0.011874
-1.145924,-31.373111,0.008735
-1.16032,-31.373111,0.006057
-1.16894,-31.373111,0.003816
-1.200361,-31.373111,0.001981
-1.243067,-31.373111,0.000512
-1.257039,-31.452018,-0.001245
-1.230976,-31.373111,-0.003787
-1.216433,-31.373111,-0.006232
-1.190522,-31.373111,-0.007911
-1.210393,-31.373111,-0.008949
-1.270149,-31.373111,-0.009464
-1.261129,-31.373111,-0.009563
-1.229297,-31.452018,-0.009956
-1.254692,-31.373111,-0.011181
-1.240004,-31.452018,-0.013003
-1.22537,-31.373111,-0.015226
-1.159395,-31.294203,-0.016452
-1.133657,-31.373111,-0.015643
-1.14799,-31.373111,-0.013917
-1.219362,-31.373111,-0.012159
-1.239041,-31.452018,-0.01105
-1.241503,-31.373111,-0.011088
-1.261078,-31.373111,-0.011388
-1.269145,-31.373111,-0.011261
-1.24862,-31.373111,-0.010812
-1.239592,-31.452018,-0.010747
-1.264857,-31.373111,-0.011595
-1.255749,-31.373111,-0.012499
-1.309484,-31.373111,-0.0128
-1.391544,-31.373111,-0.012631
-1.330501,-31.373111,-0.012106
-1.27541,-31.373111,-0.011325
-1.294772,-31.373111,-0.010373
-1.228393,-31.373111,-0.009319
-1.20796,-31.373111,-0.00822
-1.238998,-31.373111,-0.007121
-1.241349,-31.373111,-0.006057
-1.312208,-31.373111,-0.005052
-1.337086,-31.373111,-0.004124
-1.299041,-31.373111,-0.003284
-1.323957,-31.373111,-0.002538
-1.320212,-31.452018,-0.002505
-1.327895,-31.373111,-0.003635
-1.3698,-31.294203,-0.004387
-1.371553,-31.373111,-0.003591
-1.390422,-31.373111,-0.002252
-1.352101,-31.373111,-0.001156
-1.291088,-31.373111,-0.000281
-1.276,-31.373111,0.000399
-1.266677,-31.373111,0.000907
