Time_ms,Green_lp,Red_lp,IR_lp,Off_lp,,,
0,1984.179848,3191.309925,2931.974595,1662.908267,,,
8.087,1986.4808,3195.446488,2932.414136,1661.493583,,,
16.174,1988.720741,3199.450029,2932.837981,1660.079179,,,
24.261,1990.846756,3203.231433,2933.246302,1658.699784,,,123.6552492
31.981,1992.718273,3206.549299,2933.623022,1657.452513,,,
40.068,1994.495387,3209.695441,2934.007306,1656.238589,,,
48.155,1996.02075,3212.398801,2934.382192,1655.163951,,,
56.242,1997.306649,3214.688023,2934.75159,1654.230764,,,
63.962,1998.290886,3216.457707,2935.101103,1653.490269,,,
72.049,1999.066094,3217.879797,2935.466492,1652.879733,,,
80.136,1999.610365,3218.915968,2935.833138,1652.423759,,,
88.223,1999.914961,3219.555507,2936.203376,1652.13459,,,
96.31,2000.037406,3219.896099,2936.578415,1651.977626,,,
104.03,2000.006124,3219.979211,2936.942254,1651.939906,,,
112.117,1999.853713,3219.870735,2937.330736,1651.996564,,,
120.204,1999.623079,3219.632609,2937.72681,1652.12147,,,
128.291,1999.345486,3219.3113,2938.131967,1652.295481,,,
136.011,1999.074188,3218.983575,2938.526153,1652.47908,,,
144.098,1998.81146,3218.656593,2938.946661,1652.669744,,,
152.185,1998.59873,3218.38251,2939.373262,1652.83703,,,
160.272,1998.450119,3218.177911,2939.802965,1652.967809,,,
167.992,1998.390159,3218.068822,2940.212111,1653.041151,,,
176.079,1998.409324,3218.035495,2940.633903,1653.062777,,,
184.166,1998.518157,3218.083061,2941.040718,1653.020645,,,
192.253,1998.71254,3218.196099,2941.42103,1652.913355,,,
200.34,1998.976036,3218.349661,2941.765625,1652.748977,,,
208.06,1999.285904,3218.513219,2942.042191,1652.537333,,,
216.147,1999.647239,3218.673238,2942.267524,1652.272074,,,
224.234,2000.028997,3218.794542,2942.407415,1651.968219,,,
232.321,2000.407449,3218.845793,2942.439704,1651.635313,,,
240.041,2000.747615,3218.815776,2942.366021,1651.30122,,,
248.128,2001.053611,3218.663774,2942.141877,1650.941863,,,
256.215,2001.294143,3218.388652,2941.773422,1650.583583,,,
264.302,2001.447969,3217.973448,2941.242683,1650.234715,,,
272.022,2001.493664,3217.43521,2940.571218,1649.919224,,,
280.109,2001.434497,3216.737463,2939.710426,1649.61165,,,
288.196,2001.236951,3215.886158,2938.66572,1649.338435,,,
296.283,2000.911175,3214.909766,2937.467678,1649.100889,,,
304.003,2000.472357,3213.867348,2936.185815,1648.912704,,,
312.09,1999.877724,3212.676107,2934.715685,1648.759804,,,
320.177,1999.160833,3211.409589,2933.147131,1648.649899,,,
328.264,1998.315597,3210.082713,2931.498482,1648.588826,,,
336.351,1997.370473,3208.726658,2929.811312,1648.569299,,,
344.071,1996.38638,3207.424822,2928.192652,1648.588049,,,
352.158,1995.288799,3206.078525,2926.524968,1648.642987,,,
360.245,1994.149316,3204.769218,2924.914087,1648.725627,,,
368.332,1992.989919,3203.525458,2923.40308,1648.831915,,,
376.052,1991.890837,3202.410337,2922.070257,1648.945907,,,
384.139,1990.772083,3201.337159,2920.817558,1649.072005,,,
392.226,1989.714858,3200.377673,2919.73511,1649.196947,,,
